id,indicator,type,description,severity,first_seen,confidence
1928,7255b0eecbce5a17be41c3ee8209fdfa,hash,Auto-generated indicator,low,2021-04-05,0.68
1929,ab6d7f48e7b969c5bccf9c101413877a,hash,Auto-generated indicator,low,2024-12-03,0.54
1930,service1279.org,domain,Auto-generated indicator,medium,2021-01-06,0.57
1931,login1767.net,domain,Auto-generated indicator,medium,2024-08-08,0.46
1932,7e9704f5c665f2b2e2360dc7317b97b5,hash,Auto-generated indicator,low,2021-02-04,0.44
1933,malicious3554.org,domain,Auto-generated indicator,low,2022-11-03,0.74
1934,9f0704cc3e98ee94a8645824cc20c567,hash,Auto-generated indicator,high,2025-12-04,0.95
1935,portal8608.net,domain,Auto-generated indicator,high,2022-09-07,0.88
1936,39.209.128.220,ip,Auto-generated indicator,low,2022-02-07,0.63
1937,164.12.38.102,ip,Auto-generated indicator,low,2023-05-28,0.66
1938,f8386428c2ed4eb9bbd03f7682c78525,hash,Auto-generated indicator,low,2024-11-27,0.66
1939,41.4.213.194,ip,Auto-generated indicator,medium,2025-03-23,0.88
1940,173.10.128.174,ip,Auto-generated indicator,medium,2022-01-01,0.86
1941,login5630.com,domain,Auto-generated indicator,medium,2021-04-02,0.66
1942,235.109.17.151,ip,Auto-generated indicator,medium,2021-03-24,0.48
1943,13.202.125.69,ip,Auto-generated indicator,medium,2021-07-04,0.68
1944,9.66.70.92,ip,Auto-generated indicator,medium,2025-09-30,0.64
1945,97.139.116.31,ip,Auto-generated indicator,low,2022-04-27,0.48
1946,cf614394ecec2d6621c0bf7014f6606d,hash,Auto-generated indicator,low,2022-10-14,0.87
1947,47f35a20c39fbe24839eec38181bf374,hash,Auto-generated indicator,low,2026-01-04,0.72
1948,14.104.82.70,ip,Auto-generated indicator,high,2022-04-13,0.86
1949,50316a38542923f5ce2fd4d57c4f18f7,hash,Auto-generated indicator,low,2025-09-22,0.54
1950,199.234.87.249,ip,Auto-generated indicator,low,2020-12-06,0.57
1951,67.93.84.123,ip,Auto-generated indicator,medium,2025-05-27,0.8
1952,97.90.145.213,ip,Auto-generated indicator,low,2021-09-01,0.41
1953,94a4d9cec3119c13bb0701c5b557ccb4,hash,Auto-generated indicator,low,2024-04-08,0.6
1954,login8251.org,domain,Auto-generated indicator,low,2021-07-21,0.7
1955,accounts6899.net,domain,Auto-generated indicator,medium,2025-02-27,0.65
1956,fcb25b24a0f0a3410d5de56321da059e,hash,Auto-generated indicator,low,2021-11-18,0.67
1957,c215e64a6bca5b944837603e76c73945,hash,Auto-generated indicator,high,2026-04-30,0.49
1958,e992680963f9984b955ad86c1c65f789,hash,Auto-generated indicator,medium,2022-02-14,0.52
1959,a84418e6cb4e2b877fc66529579d2717,hash,Auto-generated indicator,low,2025-12-09,0.42
1960,010d79cfef564a19c5ad230dd0c291c4,hash,Auto-generated indicator,low,2026-03-14,0.58
1961,portal8581.net,domain,Auto-generated indicator,low,2021-06-17,0.93
1962,1e1269a6578f0d9f7fd70d0864153e6c,hash,Auto-generated indicator,low,2022-12-13,0.82
1963,eae83bcd318768874d09fda568dfc8a0,hash,Auto-generated indicator,high,2021-09-09,0.91
1964,suspicious7150.info,domain,Auto-generated indicator,low,2024-03-08,0.78
1965,49fd8c9b0a24fa8d5d4e6a67db95da8a,hash,Auto-generated indicator,low,2021-10-04,0.9
1966,cb9c97be979e92cb76043155181ae5f4,hash,Auto-generated indicator,medium,2022-07-23,0.79
1967,153.129.116.64,ip,Auto-generated indicator,critical,2024-02-08,0.84
1968,32.68.172.17,ip,Auto-generated indicator,medium,2022-10-23,0.65
1969,benign2492.net,domain,Auto-generated indicator,low,2025-04-15,0.93
1970,secure7070.net,domain,Auto-generated indicator,low,2021-12-13,0.88
1971,suspicious3135.info,domain,Auto-generated indicator,low,2022-11-19,0.9
1972,2ebcfca0443a0eee35d55af5003f9fd9,hash,Auto-generated indicator,high,2023-09-15,0.47
1973,f5d17f849e39af622b0d6b772768b405,hash,Auto-generated indicator,low,2025-05-29,0.84
1974,89.117.4.43,ip,Auto-generated indicator,medium,2022-07-03,0.96
1975,portal8956.org,domain,Auto-generated indicator,low,2024-05-17,0.52
1976,a9fea56c2239d89b88781b6f555cc602,hash,Auto-generated indicator,medium,2025-05-25,0.61
1977,login4491.info,domain,Auto-generated indicator,low,2022-04-06,0.68
1978,c5ea98f9baa1dbfb09c1d6a2e15f3c4d,hash,Auto-generated indicator,high,2023-05-30,0.62
1979,17.44.226.196,ip,Auto-generated indicator,medium,2025-07-22,0.85
1980,malicious2366.org,domain,Auto-generated indicator,medium,2024-12-27,0.85
1981,15ce17746fea8afba07cb20313b493b5,hash,Auto-generated indicator,low,2025-02-03,0.57
1982,115.188.87.18,ip,Auto-generated indicator,low,2021-05-11,0.8
1983,3c8ec07c7bb75925cb858f8a13880b17,hash,Auto-generated indicator,low,2023-10-24,0.99
1984,malicious2393.net,domain,Auto-generated indicator,medium,2024-08-10,0.93
1985,173.177.190.102,ip,Auto-generated indicator,medium,2020-12-02,0.8
1986,9def2ea45d4887cd0347f47a529e384d,hash,Auto-generated indicator,medium,2025-11-17,0.79
1987,28.246.171.178,ip,Auto-generated indicator,low,2022-04-27,0.6
1988,6d10d4d73c027ebf74307c7312422918,hash,Auto-generated indicator,high,2023-02-07,0.91
1989,1f135590cd65fea69b41c79e3333331b,hash,Auto-generated indicator,low,2024-11-17,0.41
1990,51.75.38.230,ip,Auto-generated indicator,medium,2021-11-29,0.88
1991,603408b5e352a7d08f3f194e11f6b0c9,hash,Auto-generated indicator,low,2021-03-04,0.44
1992,93b178347c5812c7170405dc4906a8e2,hash,Auto-generated indicator,high,2022-10-03,0.48
1993,131.65.81.50,ip,Auto-generated indicator,medium,2025-06-18,0.69
1994,portal7547.info,domain,Auto-generated indicator,high,2021-05-20,0.83
1995,83f085261af23d450db925a763458865,hash,Auto-generated indicator,low,2023-04-12,0.96
1996,benign5301.com,domain,Auto-generated indicator,medium,2025-02-23,0.83
1997,c7689e9c0fea941b16ed7787474e2261,hash,Auto-generated indicator,high,2024-04-21,0.46
1998,174.20.68.173,ip,Auto-generated indicator,high,2022-08-03,0.48
1999,bd768fcc2094d97a30ce917008ac00a5,hash,Auto-generated indicator,medium,2026-03-29,0.7
2000,811a75184fc2bdf5928db36deabc4707,hash,Auto-generated indicator,low,2024-01-24,0.5
2001,46.70.205.151,ip,Auto-generated indicator,low,2024-08-11,0.42
2002,portal4395.net,domain,Auto-generated indicator,low,2025-09-04,0.83
2003,e8c6a8a0a8bbf249c3947489cee0a242,hash,Auto-generated indicator,low,2023-01-13,0.91
2004,d82b8582205af76d11ee5959f9fbf438,hash,Auto-generated indicator,low,2021-06-01,0.73
2005,360ef155fd0b1f2a92b14fdbf95a4732,hash,Auto-generated indicator,medium,2022-06-02,0.67
2006,accounts89.com,domain,Auto-generated indicator,medium,2023-05-04,0.63
2007,c45402e66fc202b16b6c1d659555e2fb,hash,Auto-generated indicator,low,2023-04-28,0.88
2008,139828b5dbc6d9ce7a2f4f321567413d,hash,Auto-generated indicator,low,2022-12-07,0.41
2009,bc518507945354333329ee4aa64fdba8,hash,Auto-generated indicator,low,2025-10-05,0.4
2010,accounts5591.info,domain,Auto-generated indicator,low,2020-12-04,0.69
2011,secure3960.com,domain,Auto-generated indicator,low,2022-03-24,0.49
2012,secure6260.org,domain,Auto-generated indicator,low,2023-12-31,0.95
2013,secure4398.org,domain,Auto-generated indicator,medium,2026-04-25,0.48
2014,4e6dfff7dff0700b34e89ddf40020f5c,hash,Auto-generated indicator,low,2026-05-14,0.54
2015,malicious7639.info,domain,Auto-generated indicator,low,2024-09-02,0.47
2016,benign280.info,domain,Auto-generated indicator,medium,2022-05-27,0.56
2017,portal7471.com,domain,Auto-generated indicator,low,2021-01-01,0.93
2018,134.165.3.241,ip,Auto-generated indicator,medium,2023-06-26,0.84
2019,59.176.73.184,ip,Auto-generated indicator,medium,2022-07-24,0.81
2020,171.96.73.114,ip,Auto-generated indicator,medium,2023-12-09,0.71
2021,login1240.org,domain,Auto-generated indicator,critical,2024-04-01,0.95
2022,205.217.190.166,ip,Auto-generated indicator,medium,2024-05-16,0.44
2023,3a7dc66b187fa3587cf25de710d09678,hash,Auto-generated indicator,low,2025-03-16,0.76
2024,update4383.org,domain,Auto-generated indicator,low,2026-02-15,0.4
2025,4e7edd24a3978814c7797dbf77b00b6d,hash,Auto-generated indicator,low,2022-01-05,0.71
2026,malicious4887.com,domain,Auto-generated indicator,medium,2021-05-05,0.68
2027,service4198.com,domain,Auto-generated indicator,low,2021-03-12,0.5
2028,0128869b6296b5ea75e1c67c4eaea293,hash,Auto-generated indicator,medium,2023-01-13,0.61
2029,119.253.136.40,ip,Auto-generated indicator,critical,2021-10-01,0.71
2030,benign5789.net,domain,Auto-generated indicator,medium,2022-12-09,0.74
2031,8cdbae8bdcbe31a4e92df989af330301,hash,Auto-generated indicator,low,2020-12-03,0.65
2032,103.218.245.80,ip,Auto-generated indicator,high,2021-02-14,0.64
2033,171.101.176.15,ip,Auto-generated indicator,low,2021-07-28,0.98
2034,secure7100.info,domain,Auto-generated indicator,low,2025-02-27,0.69
2035,51.65.84.170,ip,Auto-generated indicator,high,2025-07-02,0.8
2036,5f9b62daa86866cbece366673c269e1d,hash,Auto-generated indicator,low,2025-09-07,0.48
2037,84.148.71.23,ip,Auto-generated indicator,low,2024-05-06,0.62
2038,login5290.info,domain,Auto-generated indicator,low,2026-03-29,0.78
2039,10ef5ddb34641b970c3a4e7b692c5981,hash,Auto-generated indicator,low,2024-01-18,0.71
2040,201.150.182.10,ip,Auto-generated indicator,high,2024-11-30,0.59
2041,cc6566241cbf03847404ff2e0cf654bb,hash,Auto-generated indicator,medium,2023-07-30,0.81
2042,login7031.info,domain,Auto-generated indicator,low,2024-12-31,0.87
2043,240.11.19.21,ip,Auto-generated indicator,low,2024-11-26,0.85
2044,28e65c93930da32866669e98dcc53006,hash,Auto-generated indicator,low,2023-06-04,0.75
2045,malicious8598.info,domain,Auto-generated indicator,low,2023-02-24,0.55
2046,41.241.87.217,ip,Auto-generated indicator,low,2021-10-07,0.62
2047,b7fef808c23c4886f7f6b97e6db6a9e5,hash,Auto-generated indicator,high,2025-06-07,0.94
2048,138.191.165.193,ip,Auto-generated indicator,medium,2021-12-17,0.96
2049,134.11.100.250,ip,Auto-generated indicator,medium,2025-05-23,0.69
2050,2d5d79cd44038cd7e44e9268ae289bb3,hash,Auto-generated indicator,low,2026-02-22,0.47
2051,185.170.217.204,ip,Auto-generated indicator,high,2025-03-13,0.54
2052,9d9e74e15c15734bc3ace69abfbae89f,hash,Auto-generated indicator,low,2020-12-21,0.4
2053,f45c1375e3d2ad099c56495a60c43f2b,hash,Auto-generated indicator,medium,2023-05-07,0.82
2054,d723b99f9311230f36b570a5eaea0b42,hash,Auto-generated indicator,high,2024-03-26,0.61
2055,43.207.54.201,ip,Auto-generated indicator,low,2025-08-31,0.73
2056,accounts8006.org,domain,Auto-generated indicator,critical,2022-05-31,0.65
2057,suspicious2140.com,domain,Auto-generated indicator,medium,2024-05-30,0.87
2058,9556d1f76030b474837a98359df6152f,hash,Auto-generated indicator,low,2023-08-27,0.5
2059,e80481347a1d5afa2e0018dcb6eb4305,hash,Auto-generated indicator,low,2022-04-02,0.96
2060,235.72.41.143,ip,Auto-generated indicator,high,2024-01-13,0.62
2061,87.59.206.70,ip,Auto-generated indicator,medium,2021-03-26,0.62
2062,benign3222.info,domain,Auto-generated indicator,medium,2021-01-25,0.52
2063,malicious5099.com,domain,Auto-generated indicator,medium,2025-09-20,0.82
2064,benign7815.org,domain,Auto-generated indicator,medium,2024-07-08,0.5
2065,127.1.199.103,ip,Auto-generated indicator,low,2022-12-14,0.75
2066,112.81.159.86,ip,Auto-generated indicator,low,2025-07-26,0.53
2067,36a9af4a6f006c57ca1c7e3afefa11ad,hash,Auto-generated indicator,low,2023-12-22,0.42
2068,78eabe5a33ae3161a75d9d6fc286cb2f,hash,Auto-generated indicator,low,2024-06-11,0.7
2069,b5cae29a22b395c4c6058bc2dc2ff028,hash,Auto-generated indicator,high,2021-04-05,0.43
2070,108.143.203.115,ip,Auto-generated indicator,low,2020-12-19,0.55
2071,service2243.org,domain,Auto-generated indicator,medium,2024-11-16,0.93
2072,214.221.245.213,ip,Auto-generated indicator,medium,2025-01-30,0.51
2073,5bbfe5f5a99ea8868d6e5bb9c25785d6,hash,Auto-generated indicator,medium,2021-12-26,0.74
2074,e5bc7872db4553a5a848d7efdb164484,hash,Auto-generated indicator,high,2023-04-03,0.9
2075,9248b520b6ef8c46ad9bec1c38dafb63,hash,Auto-generated indicator,medium,2024-02-05,0.7
2076,cc152d7ae3a36df466c4a8df9698bbef,hash,Auto-generated indicator,critical,2025-12-05,0.63
2077,0e49d5e77d2bef15c86606339529613e,hash,Auto-generated indicator,medium,2025-08-16,0.72
2078,151.46.251.61,ip,Auto-generated indicator,low,2022-06-17,0.7
2079,portal2850.com,domain,Auto-generated indicator,high,2020-12-14,0.87
2080,portal3339.net,domain,Auto-generated indicator,medium,2025-01-08,0.47
2081,4d8e70a60e82e95fc52db41305c3c2b9,hash,Auto-generated indicator,low,2022-10-10,0.9
2082,42.156.124.147,ip,Auto-generated indicator,medium,2024-06-10,0.92
2083,252.31.125.128,ip,Auto-generated indicator,high,2025-07-20,0.98
2084,174.240.36.106,ip,Auto-generated indicator,medium,2026-03-24,0.47
2085,login6506.info,domain,Auto-generated indicator,medium,2023-01-28,0.64
2086,update3748.com,domain,Auto-generated indicator,low,2023-08-30,0.41
2087,service166.net,domain,Auto-generated indicator,low,2024-01-24,0.63
2088,login4136.com,domain,Auto-generated indicator,low,2023-03-13,0.64
2089,08a68929cfc4c2a44d42e0d6696942aa,hash,Auto-generated indicator,medium,2021-01-15,0.92
2090,206.85.115.174,ip,Auto-generated indicator,critical,2024-03-05,0.94
2091,accounts7645.org,domain,Auto-generated indicator,low,2022-11-22,0.4
2092,portal6031.info,domain,Auto-generated indicator,medium,2025-10-28,0.63
2093,benign5487.com,domain,Auto-generated indicator,medium,2022-07-16,0.68
2094,82.130.80.119,ip,Auto-generated indicator,low,2024-07-06,0.51
2095,242.129.227.40,ip,Auto-generated indicator,medium,2021-08-21,0.59
2096,portal2777.com,domain,Auto-generated indicator,low,2025-10-27,0.64
2097,79f223ef8d390e0d5b330b646b9ddf35,hash,Auto-generated indicator,low,2021-09-21,0.53
2098,4deb5681dfe7bda6494f9b3f78b50ca1,hash,Auto-generated indicator,high,2023-01-03,0.95
2099,182.7.151.191,ip,Auto-generated indicator,medium,2022-04-30,0.59
2100,142.47.209.125,ip,Auto-generated indicator,low,2022-02-25,0.52
2101,malicious5762.org,domain,Auto-generated indicator,medium,2023-05-09,0.71
2102,2.226.11.72,ip,Auto-generated indicator,low,2022-03-13,0.82
2103,104.19.74.242,ip,Auto-generated indicator,low,2022-12-12,0.68
2104,2208fe725539fc18c011776bfd9dffff,hash,Auto-generated indicator,low,2023-05-08,0.78
2105,login3658.info,domain,Auto-generated indicator,medium,2022-08-18,0.83
2106,suspicious9497.info,domain,Auto-generated indicator,low,2021-03-08,0.95
2107,portal2673.net,domain,Auto-generated indicator,low,2023-02-09,0.5
2108,14.98.75.214,ip,Auto-generated indicator,low,2020-12-11,0.83
2109,df031169bf2654377b46c4b820de68fe,hash,Auto-generated indicator,low,2025-06-11,0.62
2110,3762fca6fa07650930dc5afcedd9fc81,hash,Auto-generated indicator,low,2025-09-14,0.49
2111,128.119.150.167,ip,Auto-generated indicator,low,2021-03-29,0.73
2112,login4015.org,domain,Auto-generated indicator,low,2022-09-10,0.98
2113,47.83.197.195,ip,Auto-generated indicator,low,2022-01-10,0.96
2114,129ee29410ad4dc1dd94cd58f5d76031,hash,Auto-generated indicator,low,2024-05-01,0.76
2115,65b2c4dbcda73ddbfb7f900ec9743208,hash,Auto-generated indicator,medium,2025-10-14,0.42
2116,14.130.138.95,ip,Auto-generated indicator,low,2022-10-13,0.77
2117,suspicious9523.com,domain,Auto-generated indicator,low,2023-04-18,0.95
2118,7e8f9d731c998d012264ea7d26404f2c,hash,Auto-generated indicator,high,2022-07-01,0.84
2119,update4395.net,domain,Auto-generated indicator,low,2022-01-05,0.57
2120,accounts8627.com,domain,Auto-generated indicator,medium,2021-05-10,0.83
2121,179.191.38.64,ip,Auto-generated indicator,low,2022-06-02,0.41
2122,175.180.121.112,ip,Auto-generated indicator,low,2024-12-17,0.72
2123,suspicious1829.net,domain,Auto-generated indicator,critical,2023-10-01,0.67
2124,suspicious8351.net,domain,Auto-generated indicator,low,2021-01-04,0.58
2125,1.2.119.211,ip,Auto-generated indicator,low,2025-08-16,0.7
2126,suspicious7112.net,domain,Auto-generated indicator,low,2024-06-13,0.84
2127,59.202.2.20,ip,Auto-generated indicator,medium,2021-06-23,0.7
2128,login4838.org,domain,Auto-generated indicator,low,2021-09-06,0.58
2129,2da9d91d13fbcca2ebdc77e798f4bfc5,hash,Auto-generated indicator,low,2022-06-22,0.48
2130,281ae57792507880026ee791463567cf,hash,Auto-generated indicator,medium,2022-10-18,0.8
2131,service4356.org,domain,Auto-generated indicator,high,2023-03-09,0.82
2132,61.165.74.184,ip,Auto-generated indicator,critical,2021-07-25,0.46
2133,login6720.com,domain,Auto-generated indicator,low,2021-09-10,0.68
2134,update2475.info,domain,Auto-generated indicator,high,2023-09-29,0.78
2135,33.214.129.143,ip,Auto-generated indicator,low,2024-06-09,0.65
2136,40.211.74.240,ip,Auto-generated indicator,low,2022-04-10,0.9
2137,suspicious6730.info,domain,Auto-generated indicator,medium,2021-02-19,0.44
2138,6c978b31788b58ba22598a66be2dd6e7,hash,Auto-generated indicator,low,2023-11-22,0.84
2139,19050265c9d4f3c6df852e3b3f1b9488,hash,Auto-generated indicator,low,2023-05-13,0.83
2140,20819bbaf4b0ec0c2399aa5bb3123de2,hash,Auto-generated indicator,critical,2023-05-03,0.81
2141,105.215.158.122,ip,Auto-generated indicator,medium,2023-04-09,0.46
2142,7.116.21.234,ip,Auto-generated indicator,low,2025-11-14,0.5
2143,caa64cf3e0783e625aeae93d4fc3d9ba,hash,Auto-generated indicator,medium,2022-02-19,0.57
2144,38.12.80.70,ip,Auto-generated indicator,low,2025-11-12,0.49
2145,accounts7661.net,domain,Auto-generated indicator,medium,2024-07-21,0.56
2146,benign2025.com,domain,Auto-generated indicator,medium,2022-06-29,0.7
2147,a037b038da2faddeb2bab86dfde8b0c8,hash,Auto-generated indicator,medium,2026-01-26,0.88
2148,malicious5657.info,domain,Auto-generated indicator,low,2022-03-20,0.76
2149,login8016.info,domain,Auto-generated indicator,medium,2024-04-07,0.63
2150,update6341.info,domain,Auto-generated indicator,high,2022-12-04,0.55
2151,74.67.200.226,ip,Auto-generated indicator,low,2025-11-30,0.45
2152,11.132.238.110,ip,Auto-generated indicator,low,2026-01-16,0.99
2153,accounts6310.org,domain,Auto-generated indicator,high,2026-01-27,0.52
2154,secure4828.info,domain,Auto-generated indicator,medium,2023-03-30,0.48
2155,862c9f468001f43e1d73c14994ccf00e,hash,Auto-generated indicator,low,2025-05-18,0.74
2156,39.137.164.226,ip,Auto-generated indicator,low,2024-09-16,0.96
2157,7ef59ab20c8ba204710356efe19aaa50,hash,Auto-generated indicator,medium,2023-05-02,0.95
2158,211.164.154.101,ip,Auto-generated indicator,low,2025-04-15,0.73
2159,portal441.net,domain,Auto-generated indicator,medium,2026-03-21,0.88
2160,d74ed2b440e303d29df3ab0551196f97,hash,Auto-generated indicator,low,2024-09-27,0.84
2161,e5b97f30590f47e2a13b6d4ae429b9d6,hash,Auto-generated indicator,medium,2023-06-23,0.43
2162,135.44.63.206,ip,Auto-generated indicator,high,2024-12-02,0.97
2163,27be415a9004b8c04bdcf0712ec81f87,hash,Auto-generated indicator,medium,2025-02-01,0.85
2164,83.248.87.132,ip,Auto-generated indicator,low,2021-01-18,0.67
2165,login1228.com,domain,Auto-generated indicator,low,2024-05-15,0.77
2166,login8555.org,domain,Auto-generated indicator,low,2021-10-31,0.86
2167,763b16caf5a6e69aae0b08828106c44a,hash,Auto-generated indicator,low,2024-08-05,0.98
2168,152.31.86.68,ip,Auto-generated indicator,high,2021-01-27,0.61
2169,login2236.com,domain,Auto-generated indicator,low,2021-08-27,0.6
2170,2b1784f9358746e8e3c4e84ba3e288d0,hash,Auto-generated indicator,low,2023-08-26,0.78
2171,login4080.com,domain,Auto-generated indicator,medium,2023-12-28,0.67
2172,237.253.253.18,ip,Auto-generated indicator,high,2025-10-07,0.85
2173,login1178.com,domain,Auto-generated indicator,low,2022-03-26,0.54
2174,184.163.174.155,ip,Auto-generated indicator,low,2026-01-11,0.94
2175,suspicious1517.info,domain,Auto-generated indicator,low,2023-07-28,0.94
2176,benign9880.net,domain,Auto-generated indicator,medium,2021-06-07,0.52
2177,242.210.237.85,ip,Auto-generated indicator,low,2022-09-15,0.5
2178,malicious7456.org,domain,Auto-generated indicator,low,2021-09-29,0.71
2179,benign2922.com,domain,Auto-generated indicator,low,2024-09-28,0.91
2180,21.187.89.1,ip,Auto-generated indicator,low,2022-01-30,0.88
2181,05df1c31fada1bc4368b59dbc7e68c0f,hash,Auto-generated indicator,low,2024-02-04,0.63
2182,72.255.64.149,ip,Auto-generated indicator,medium,2024-10-08,0.61
2183,15422b67172e12796c3e8fb56ce83257,hash,Auto-generated indicator,medium,2024-12-19,0.51
2184,0ab86c5a0c504abc0e10c21cb5b39212,hash,Auto-generated indicator,medium,2023-08-17,0.97
2185,malicious8033.info,domain,Auto-generated indicator,medium,2024-02-24,0.71
2186,fdddca1d07b34851bfec789efad9473f,hash,Auto-generated indicator,high,2025-05-27,0.47
2187,malicious7258.net,domain,Auto-generated indicator,low,2024-08-25,0.88
2188,update2974.info,domain,Auto-generated indicator,low,2022-12-30,0.79
2189,suspicious4046.org,domain,Auto-generated indicator,low,2023-04-06,0.61
2190,300ad5a5f611777731f39fbb807adfdd,hash,Auto-generated indicator,low,2026-02-26,0.82
2191,212.82.100.54,ip,Auto-generated indicator,critical,2022-08-04,0.89
2192,secure9051.info,domain,Auto-generated indicator,medium,2023-07-26,0.41
2193,020f920b6fbb95c848f715d8de33e2de,hash,Auto-generated indicator,medium,2023-10-12,0.7
2194,124.70.20.172,ip,Auto-generated indicator,low,2023-02-07,0.69
2195,2025c802409e15a7839a76a32480411b,hash,Auto-generated indicator,high,2022-07-08,0.49
2196,portal1265.info,domain,Auto-generated indicator,high,2022-05-14,0.78
2197,suspicious3546.info,domain,Auto-generated indicator,high,2022-08-12,0.79
2198,173.2.77.249,ip,Auto-generated indicator,low,2025-07-01,0.94
2199,d584315f0a415b57d7d6aa2e946ddd2f,hash,Auto-generated indicator,high,2026-05-14,0.5
2200,accounts5815.net,domain,Auto-generated indicator,low,2023-05-14,0.41
2201,service2378.org,domain,Auto-generated indicator,medium,2021-09-19,0.53
2202,1db6bd9947b96d73f4de4b597376963b,hash,Auto-generated indicator,low,2025-02-05,0.74
2203,792f93a5185085f5c855049181dccb00,hash,Auto-generated indicator,medium,2023-06-21,0.6
2204,5fd707c95bab8ddfc134940181ef0899,hash,Auto-generated indicator,low,2022-10-12,0.79
2205,update3731.org,domain,Auto-generated indicator,low,2023-03-02,0.86
2206,update5844.com,domain,Auto-generated indicator,low,2025-05-01,0.83
2207,20.61.181.254,ip,Auto-generated indicator,medium,2021-09-20,0.74
2208,malicious9647.net,domain,Auto-generated indicator,low,2021-10-29,0.93
2209,secure4702.net,domain,Auto-generated indicator,high,2024-08-30,0.83
2210,20.87.22.161,ip,Auto-generated indicator,medium,2021-09-05,0.96
2211,42845a98c727e3c2667ebde304beb7b7,hash,Auto-generated indicator,low,2025-12-16,0.95
2212,093d3235d2a7a8d2d8a959171e80b57d,hash,Auto-generated indicator,high,2025-01-02,0.81
2213,login2234.com,domain,Auto-generated indicator,medium,2025-09-29,0.8
2214,benign2006.net,domain,Auto-generated indicator,medium,2022-07-24,0.78
2215,8ead00e1e07b89ef43b7de477678b7c1,hash,Auto-generated indicator,low,2021-09-24,0.68
2216,suspicious7181.org,domain,Auto-generated indicator,medium,2024-12-09,0.58
2217,login9352.net,domain,Auto-generated indicator,low,2023-06-02,0.89
2218,secure323.org,domain,Auto-generated indicator,low,2021-01-18,0.58
2219,070fe10791a0c355bbabb3a4cf78c8ef,hash,Auto-generated indicator,low,2023-01-19,0.56
2220,94016c5b02c662f73159b8fff3bc6151,hash,Auto-generated indicator,low,2024-02-18,0.78
2221,62cc5d5232d93adb0cb4f42422e0ce5e,hash,Auto-generated indicator,medium,2026-01-04,0.89
2222,830f35b834ecd9eb549b1ec516569c3c,hash,Auto-generated indicator,high,2025-07-11,0.64
2223,service8909.org,domain,Auto-generated indicator,low,2022-10-19,0.74
2224,113.4.225.224,ip,Auto-generated indicator,medium,2020-12-23,0.7
2225,94.127.86.162,ip,Auto-generated indicator,medium,2026-04-24,0.61
2226,update1060.net,domain,Auto-generated indicator,low,2021-04-11,0.91
2227,182.163.204.170,ip,Auto-generated indicator,low,2021-07-16,0.44
2228,210.193.155.135,ip,Auto-generated indicator,low,2021-11-26,0.62
2229,174.50.125.211,ip,Auto-generated indicator,low,2022-08-18,0.46
2230,a2c2913e42a559e58b58d3353da6d1f3,hash,Auto-generated indicator,low,2022-04-17,0.52
2231,215.99.201.207,ip,Auto-generated indicator,low,2025-07-25,0.75
2232,033e4fdf3276c00bb72e51fff5a036c2,hash,Auto-generated indicator,low,2025-03-14,0.93
2233,226.238.235.50,ip,Auto-generated indicator,medium,2021-08-20,0.64
2234,8c03cb476e7edd8f0adadb28de1a1557,hash,Auto-generated indicator,low,2024-12-16,0.78
2235,100.85.67.25,ip,Auto-generated indicator,low,2026-04-14,0.59
2236,3468b7a2b02c83a60bb3795656c44aa0,hash,Auto-generated indicator,low,2023-04-07,0.88
2237,c772ba7ad0a9a015bf27c589ae37c591,hash,Auto-generated indicator,low,2022-11-18,0.66
2238,44.78.10.122,ip,Auto-generated indicator,low,2025-06-10,0.9
2239,117d876fa0e2744e025c1d8c51782430,hash,Auto-generated indicator,medium,2025-09-03,0.86
2240,71b00fcfb5c57b7457af5ba940a59289,hash,Auto-generated indicator,low,2026-02-27,0.78
2241,a6ae52b13ab61b72cd49c6941887c5c6,hash,Auto-generated indicator,low,2022-08-28,0.45
2242,login7987.net,domain,Auto-generated indicator,high,2026-03-21,0.81
2243,portal4878.info,domain,Auto-generated indicator,low,2021-09-07,0.77
2244,portal3511.info,domain,Auto-generated indicator,low,2022-07-19,0.74
2245,secure3519.info,domain,Auto-generated indicator,medium,2022-09-27,0.55
2246,54978f34488b1224fd866124955cda26,hash,Auto-generated indicator,low,2023-10-03,0.8
2247,malicious6082.net,domain,Auto-generated indicator,high,2021-05-11,0.62
2248,benign3832.info,domain,Auto-generated indicator,low,2024-01-31,0.9
2249,18.92.55.80,ip,Auto-generated indicator,medium,2021-06-10,0.75
2250,167.148.211.76,ip,Auto-generated indicator,low,2022-10-20,0.54
2251,service2522.net,domain,Auto-generated indicator,low,2023-09-26,0.95
2252,233.88.106.22,ip,Auto-generated indicator,low,2021-12-02,0.64
2253,9a1e54c6202afa3768edc1805b1c87c7,hash,Auto-generated indicator,medium,2025-04-12,0.96
2254,244.250.159.34,ip,Auto-generated indicator,medium,2021-02-08,0.89
2255,148.16.126.77,ip,Auto-generated indicator,low,2025-08-15,0.45
2256,d6c5d3046a8d37fd358dff60e1f7dacb,hash,Auto-generated indicator,low,2020-12-05,0.64
2257,180.174.103.117,ip,Auto-generated indicator,low,2025-12-14,0.58
2258,9d841205ea8a6c744f0be3b9222e69fc,hash,Auto-generated indicator,medium,2023-04-27,0.82
2259,166.240.2.236,ip,Auto-generated indicator,medium,2024-06-18,0.62
